Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
9.90 BIRIGUI,881734,CENTRAL TELEFONICA PABX BP250 ERICSSON,15,"R$ 11890,00","R$ 0,00",CENTRAL ELETRÔNICA PARA CERCA ELÉTRICA,28.5%,2008-12-19 00:00:00,MANTER: Similaridade muito baixa (28.5%). Mantém como patrimônio.
ALMOXARIFADO CENTRAL SENAI,1046912,PABX PEQUENO PORTE / ALCATEL LUCENT,15,"R$ 13619,04","R$ 0,00",FONTE P/ALCATEL LUCENT,41.9%,2012-08-02 00:00:00,AVALIAR: Similaridade moderada (41.9%) com consumível 'FONTE P/ALCATEL LUCENT...'. Possível reclassificação.
ALMOXARIFADO CENTRAL SENAI,1008718,APARELHO TELEFÔNICO DIGITAL/ERICSSON,15,"R$ 769,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,61.2%,2011-11-16 00:00:00,RECLASSIFICAR: Alta similaridade (61.2%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Forte indicação de má classificação.
ALMOXARIFADO CENTRAL SENAI,1008719,APARELHO TELEFÔNICO DIGITAL/ERICSSON,15,"R$ 769,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,61.2%,2011-11-16 00:00:00,RECLASSIFICAR: Alta similaridade (61.2%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Forte indicação de má classificação.
ALMOXARIFADO CENTRAL SENAI,1242871,TELEFONE VOIP IP COM RJ45,15,"R$ 880,00","R$ 513,33",APARELHO DE TELEFONE C/GÔNDOLA,29.5%,2021-10-31 00:00:00,MANTER: Similaridade muito baixa (29.5%). Mantém como patrimônio.
ALMOXARIFADO CENTRAL SENAI,879629,CENTRAL TELEFONICA PABX BF250 ERICSSON,15,"R$ 14498,33","R$ 0,00",CENTRAL ELETRÔNICA PARA CERCA ELÉTRICA,28.5%,2008-12-30 00:00:00,MANTER: Similaridade muito baixa (28.5%). Mantém como patrimônio.
ALMOXARIFADO CENTRAL SENAI,932894,TELEFONE SEM FIO 900 MHZ/MULTITOC,15,"R$ 84,99","R$ 0,00",APARELHO DE TELEFONE SEM FIO,50.7%,2010-03-11 00:00:00,AVALIAR: Similaridade moderada (50.7%) com consumível 'APARELHO DE TELEFONE SEM FIO...'. Possível reclassificação.
ALMOXARIFADO CENTRAL SENAI,964626,APARELHO TELEFÔNICO DIGITAL / AASTRA,15,"R$ 1630,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,61.1%,2010-11-26 00:00:00,RECLASSIFICAR: Alta similaridade (61.1%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Forte indicação de má classificação.
ALMOXARIFADO CENTRAL SENAI,964628,APARELHO TELEFÔNICO DIGITAL / AASTRA,15,"R$ 1630,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,61.1%,2010-11-26 00:00:00,RECLASSIFICAR: Alta similaridade (61.1%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Forte indicação de má classificação.
ALMOXARIFADO CENTRAL SENAI,989714,APARELHO FAX C/PAPEL TÉRM.110 V/PANASONIC,15,"R$ 510,29","R$ 0,00",ACOPLAMENTO LADO MOTOR PANASONIC,25.2%,2011-03-29 00:00:00,MANTER: Similaridade muito baixa (25.2%). Mantém como patrimônio.
